lga,title,url,pages,bytes,section,status,type
Albury,Albury DCP 2010 - as amended 29 Oct 2016,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/_R15/Albury%20DCP%202010%20-%20as%20amended%2029%20Oct%202016.pdf,,36712096,in-force,200,application/pdf
Armidale Dumaresq,Armidale Dumaresq DCP as amended October 2020 (PDF),https://www.planningportal.nsw.gov.au/sites/default/files/documents/2022/Armidale%20Dumaresq%20DCP%202012%20updated%20Oct%202020_S-3046.pdf,,24692329,in-force,200,application/pdf
Armidale Dumaresq,Armidale Dumaresq DCP 2012,https://shared-drupal-s3fs.s3-ap-southeast-2.amazonaws.com/master-test/fapub_pdf/ARMIDALE+DUMARESQ/Armidale+Dumaresq+DCP+2012.pdf,408,37859699,in-force,200,application/pdf
Auburn,Auburn DCP 2010 - Amendment 6,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/_R15/Auburn%20DCP%202010%20-%20Amendment%206.pdf,,11105687,in-force,200,application/pdf
Auburn,Auburn DCP 2014 - Wentworth Point Precinct.pdf,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/_R15/Auburn%20DCP%202014%20-%20Wentworth%20Point%20Precinct.pdf,,2250075,in-force,200,application/pdf
Auburn,Auburn DCP 2016 - Carter Street Precinct,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/_R15/Auburn%20DCP%202016%20-%20Carter%20Street%20Precinct.pdf,,1679274,in-force,200,application/pdf
Ballina,Ballina DCP 2012 - as amended 1 Feb 2016,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/BALLINA/Ballina%20DCP%202012%20-%20as%20amended%201%20Feb%202016.pdf,475,49686619,in-force,200,application/pdf
Bankstown,Bankstown DCP 2015 - as amended 13 Jul 2016,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/BANKSTOWN/Bankstown%20DCP%202015%20-%20as%20amended%2013%20Jul%202016.pdf,,23938699,in-force,200,application/pdf
Bathurst Regional,"Bathurst Regional DCP 2014 Amendments 1 to 22, 24 and 25 (PDF)",https://www.planningportal.nsw.gov.au/sites/default/files/documents/2022/Bathurst%20Regional%20RDCP%202014%20amend%201to%2022%20and%2024%20and%2025%20S-3938.pdf,,8197266,in-force,200,application/pdf
Bathurst Regional,"Bathurst Regional DCP 2014 - Amendments 1 to 22, 24",https://www.planningportal.nsw.gov.au/sites/default/files/documents/2022/FinalBathhurst%20Regional%20DCP%202014%20-%20including%20amend%201-22%20%2B%2024-3835.pdf,,7632958,in-force,200,application/pdf
Bathurst Regional,Bathurst Regional DCP 2014 - as amended 17 Feb 2020,https://shared-drupal-s3fs.s3-ap-southeast-2.amazonaws.com/master-test/fapub_pdf/DCP-CP/BATHURST+REGIONAL/FinalBRDCP+2014+-+including+amend+1-21_S-836.pdf,,7645128,in-force,200,application/pdf
Bega Valley,Bega Valley DCP 2013 - as amended Dec 2020 (PDF),https://www.planningportal.nsw.gov.au/sites/default/files/documents/2022/Bega%20Valley%20Development%20Control%20Plan%202013%2028Dec%20202029_S-3110.pdf,,9027468,in-force,200,application/pdf
Bega Valley,Bega Valley DCP 2013 - as amended Jan 2020,https://shared-drupal-s3fs.s3-ap-southeast-2.amazonaws.com/master-test/fapub_pdf/DCP-CP/BEGA+VALLEY/Bega+Valley+Development+Control+Plan+2013+%2428Jan+2020%2429_S-769.pdf,,8817473,in-force,200,application/pdf
Bellingen,Bellingen DCP 2010 - as amended 2017,https://shared-drupal-s3fs.s3-ap-southeast-2.amazonaws.com/master-test/fapub_pdf/BELLINGEN/Bellingen+Shire+DCP+2017.pdf,,5927276,in-force,200,application/pdf
Berrigan,Berrigan DCP 2014,https://shared-drupal-s3fs.s3-ap-southeast-2.amazonaws.com/master-test/fapub_pdf/BERRIGAN/Development+Control+Plan+2014.pdf,,1035549,in-force,200,application/pdf
Blacktown City Council Growth Centre Precincts,Blacktown City Council Growth Centre Precincts Development Control Plan 2010,https://shared-drupal-s3fs.s3.ap-southeast-2.amazonaws.com/master-test/fapub_pdf/blacktown-city-council-growth-centre-precincts-development-control-plan-2010.pdf,,2730879,in-force,200,application/pdf
Blacktown City Council Growth Centre Precincts,Blacktown City Council Growth Centre Precincts Development Control Plan 2010 – Appendices,https://www.planning.nsw.gov.au/sites/default/files/2023-04/blacktown-city-council-gcp-dcp-2010-appendices.pdf,,1598632,in-force,200,application/pdf
Schedule 1 Alex Avenue Precinct,Schedule 1 Alex Avenue Precinct,https://www.planning.nsw.gov.au/sites/default/files/2023-04/schedule-1-alex-avenue-precinct.pdf,,6800105,in-force,200,application/pdf
Schedule 2 Riverstone Precinct,Schedule 2 Riverstone Precinct,https://www.planning.nsw.gov.au/sites/default/files/2023-04/schedule-2-riverstone-precinct.pdf,,2096370,in-force,200,application/pdf
Schedule 3 Marsden Park Industrial Precinct,Schedule 3 Marsden Park Industrial Precinct,https://www.planning.nsw.gov.au/sites/default/files/2023-04/marsden-park-industrial-precinct-schedule-3.pdf,,4507331,in-force,200,application/pdf
Schedule 4 Cudgegong Road Station (Area 20) Precinct,Schedule 4 Cudgegong Road Station (Area 20) Precinct,https://shared-drupal-s3fs.s3.ap-southeast-2.amazonaws.com/master-test/fapub_pdf/blacktown-city-council-growth-centre-precincts-schedule-4-cudgegong-road-station-area-20-precinct.pdf,,2593371,in-force,200,application/pdf
Schedule 4 Cudgegong Road Station (Area 20) Precinct – Appendix 1,Schedule 4 Cudgegong Road Station (Area 20) Precinct – Appendix 1,https://www.planning.nsw.gov.au/sites/default/files/2023-04/area-20-precinct-public-domain-and-landscape-strategy.pdf,,17962688,in-force,200,application/pdf
Schedule 5 Schofields Precinct,Schedule 5 Schofields Precinct,https://www.planning.nsw.gov.au/sites/default/files/2023-04/schedule-5-schofields-precinct.pdf,,30675302,in-force,200,application/pdf
Schedule 6 Marsden Park Precinct,Schedule 6 Marsden Park Precinct,https://www.planning.nsw.gov.au/sites/default/files/2023-04/schedule-6-marsden-park.pdf,,3962900,in-force,200,application/pdf
Schedule 7 Townson Road Precinct,Schedule 7 Townson Road Precinct,https://www.planning.nsw.gov.au/sites/default/files/2023-04/schedule-7-west-schofields-townson-road-precinct.pdf,,2210460,in-force,200,application/pdf
Schedule 8 Riverstone East Precinct,Schedule 8 Riverstone East Precinct,https://shared-drupal-s3fs.s3.ap-southeast-2.amazonaws.com/master-test/fapub_pdf/DOC21+381409++BCC+Growth+Centre+Precincts+DCP+Schedule+8+Riverstone+East+-+May+2021_CURRENT.pdf,,7096088,in-force,200,application/pdf
Schedule 9 Riverstone East,Schedule 9 Riverstone East - Stage 3 Precinct,https://www.planningportal.nsw.gov.au/sites/default/files/documents/2025/Riverstone%20East%20-%20Stage%203%20DCP_0.pdf,,12448035,in-force,200,application/pdf
Blacktown,Blacktown DCP 2015,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/_R15/Blacktown%20DCP%202015.pdf,,25195785,in-force,200,application/pdf
Bland,Bland DCP 2012,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/BLAND/Bland%20DCP%202012.pdf,,4163550,in-force,200,application/pdf
Blayney,Blayney Shire Council DCP 2018,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/BLAYNEY/Blayney+Shire+Council+DCP+2018.pdf,,17493018,in-force,200,application/pdf
Blue Mountains,Blue Mountains DCP 2005 - Better Living - as amended Jan 2012,https://shared-drupal-s3fs.s3-ap-southeast-2.amazonaws.com/master-test/fapub_pdf/BLUE+MOUNTAINS/BetterLivingDCP-fullversion.pdf,,4570315,in-force,200,application/pdf
