rank,lga,title,url,pages,mb,mb_per_page,share_primary,share_strictGraphic,share_cover30,share_cover50,share_literal,share_blank,share_low_text,share_any_big_raster,share_full_page_image,share_vector_heavy,median_chars_per_page,creator,producer
1,Campbelltown Sustainable Cities,Campbelltown Sustainable Cities DCP 2015 - Volume 2 - as amended 8 Sep 2017,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/_R2.0/Campbelltown+Sustainable+Cities+DCP+2015+-+Volume+2+-+as+amended+8+Sep+2017.pdf,397,70.0,0.176,0.4131,0.4081,0.3678,0.2519,0.6448,0.0050,0.3275,0.5945,0.1511,0.0781,817,Adobe Acrobat Pro DC 15.6.30198,Adobe Acrobat Pro DC 15.6.30198
2,Port Macquarie-Hastings,Port Macquarie-Hastings DCP 2013 - as amended June 2021,https://shared-drupal-s3fs.s3.ap-southeast-2.amazonaws.com/master-test/fapub_pdf/PMHC+DCP.pdf,489,52.0,0.106,0.3313,0.3313,0.3170,0.1391,0.4785,0.0000,0.2086,0.4785,0.0020,0.0777,1183,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0
3,Maitland,Maitland DCP - 21 December 2018,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/MAITLAND/Maitland+DCP+-+21+December+2018.pdf,893,71.3,0.080,0.3001,0.2979,0.2822,0.1389,0.4155,0.0000,0.1960,0.4132,0.0705,0.0448,1448,Adobe Acrobat Pro DC 15.6.30198,Adobe Acrobat Pro DC 15.6.30198
4,Marrickville,Marrickville DCP 2011 - as amended 9 September 2022,https://shared-drupal-s3fs.s3.ap-southeast-2.amazonaws.com/master-test/fapub_pdf/NSW+Planning+Portal+Exhibitions/Marrickville+DCP+2011+-+as+amended+9+September+2022_S-5457.pdf,1396,125.8,0.090,0.2930,0.2930,0.1855,0.1082,0.8023,0.0165,0.2328,0.7822,0.0616,0.0523,1416,Adobe Acrobat Pro DC (32-bit) 21.1.20155,Adobe Acrobat Pro DC (32-bit) 21.1.20155
5,The Hills,The Hills DCP 2012 - as amended 4 May 18,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/THE+HILLS/The+Hills+DCP+2012+-+as+amended+4+May+18.pdf,1233,178.9,0.145,0.2620,0.2579,0.2425,0.1606,0.4493,0.0511,0.2993,0.3666,0.0568,0.1630,1482,Adobe Acrobat Pro DC 15.6.30198,Adobe Acrobat Pro DC 15.6.30198
6,Ryde,Ryde DCP 2014 - as amended 10 Aug 2016,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/RYDE/Ryde%20DCP%202014%20-%20as%20amended%2010%20Aug%202016.pdf,1347,101.5,0.075,0.2524,0.2287,0.2042,0.1418,0.3541,0.0000,0.1514,0.3274,0.1039,0.1863,1386,Adobe Acrobat Pro 11.0.0,Adobe Acrobat Pro 11.0.0
7,Inner West Ashfield,Inner West Ashfield DCP 2016 with IWLEP 2023 amendments - CONSOLIDATED,https://shared-drupal-s3fs.s3.ap-southeast-2.amazonaws.com/master-test/fapub_pdf/NSW+Planning+Portal+Exhibitions/Inner+West+Ashfield+DCP+2016+with+IWLEP+2023+amendments+-+CONSOLIDATED+(1).pdf,965,65.9,0.068,0.2466,0.2466,0.2290,0.1306,0.9016,0.0031,0.1731,0.8870,0.0694,0.3399,1179,Adobe Acrobat Pro DC (32-bit) 21.1.20155,Adobe Acrobat Pro DC (32-bit) 21.1.20155
8,Parramatta,Parramatta DCP 2023,https://shared-drupal-s3fs.s3.ap-southeast-2.amazonaws.com/master-test/fapub_pdf/NSW%2BPlanning%2BPortal%2BDocuments/Parramatta_DCP_2023-A5-Book_Version_compressed.pdf,1621,94.6,0.058,0.2455,0.2437,0.2338,0.0672,0.3880,0.0000,0.0987,0.3862,0.0080,0.1049,1463,Adobe Acrobat Pro (64-bit) 24.5.20399,GPL Ghostscript 10.00.0
9,Cessnock,Cessnock DCP 2010 - as amended 4 Sept 2013,https://s3-ap-southeast-2.amazonaws.com/shared-drupal-s3fs/master-test/fapub_pdf/CESSNOCK/Cessnock%20DCP%202010%20-%20as%20amended%204%20Sept%202013.pdf,2112,134.9,0.064,0.2268,0.2254,0.1662,0.1245,0.3920,0.0099,0.2301,0.3101,0.0497,0.2315,1552,Adobe Acrobat Pro 11.0.16,Adobe Acrobat Pro 11.0.16
10,Lake Macquarie,Lake Macquarie DCP 2014 (Revision 25) - as amended 28 Sep 2020,https://shared-drupal-s3fs.s3-ap-southeast-2.amazonaws.com/master-test/fapub_pdf/DCP-CP/LAKE+MACQUARIE/Lake+Macquarie+Development+Control+Plan+2014+-+Revision+25+Adopted+28+September+2020.pdf,1167,116.8,0.100,0.2237,0.2177,0.1885,0.0686,0.3316,0.0000,0.1585,0.3162,0.0120,0.0908,1767,Microsoft® Word 2019,Microsoft® Word 2019
